recordingId,trackId,initialFrame,finalFrame,numFrames,startXCenter,startYCenter,endXCenter,endYCenter,startLaneId,endLaneId,width,length,class
001,337,6801,7201,401,46.6452,46.9012,-52.3179,48.9504,7,-1,1.4932,3.5042,car
001,338,6859,7205,347,11.8919,-43.5447,66.3181,45.6643,-1,12,1.3881,2.3018,car
001,339,6965,7048,45,4.8372,27.3877,0.0495,29.7437,1,-1,0.8430,1.1681,motor
001,340,6973,7312,340,-66.6017,48.2169,-12.2095,-44.2295,5,8,1.5540,3.7828,car
001,341,6973,7267,295,-72.0290,48.1077,-15.5740,-43.9104,-1,4,1.5337,3.6359,car
001,342,7081,7119,39,-3.8791,31.4401,-7.9450,32.7781,2,2,0.8134,1.2726,motor
001,343,7090,7704,615,51.3766,46.4448,-12.8246,-44.3928,10,8,1.5085,3.5396,car
001,344,7157,7204,18,-12.3240,33.9350,-17.0999,35.0749,-1,6,0.7197,1.2792,motor
001,345,7180,7180,1,62.6630,38.9336,62.6630,38.9336,11,11,0.8885,0.9477,pedestrian
001,346,7183,7741,533,45.1694,46.8617,-31.0703,0.2667,7,2,0.8379,1.1976,motor
001,347,7205,7206,2,14.3110,-26.9248,14.3112,-26.9244,2,2,1.0582,1.4602,pedestrian
001,348,7248,7260,13,-22.7105,36.3436,-24.0230,36.7340,6,6,0.7302,1.2733,motor
001,349,7283,7298,16,61.4572,39.3538,63.9141,42.0429,11,11,1.1390,1.3660,motor
001,350,7310,7478,144,47.4035,44.3016,10.9342,31.6710,10,2,2.2773,11.4696,freight_car
001,351,7325,7466,120,-30.7983,38.9870,-44.0070,45.3183,-1,-1,0.8378,1.2426,motor
001,352,7354,7354,1,19.4578,30.7449,19.4578,30.7449,10,10,1.1447,1.4704,pedestrian
001,353,7385,8105,721,51.5347,46.2208,-12.7285,-44.3673,10,8,1.4570,3.2219,car
001,354,7387,8226,840,-66.2953,48.2130,65.7122,44.7897,5,12,1.6791,3.7096,car
001,355,7430,7472,23,-38.5080,8.5523,-32.5273,-2.5251,-1,2,0.9169,1.1459,pedestrian
001,356,7431,8078,648,11.0916,-43.9414,-52.2509,48.9929,-1,-1,1.4781,3.2217,car
001,357,7434,7434,1,12.4531,-23.4169,12.4531,-23.4169,1,1,0.8165,1.4565,car
001,358,7472,7472,1,39.2574,44.0928,39.2574,44.0928,-1,-1,1.0001,1.2760,motor
001,359,7473,7474,2,-32.3561,-2.7738,-32.2393,-2.9930,2,2,0.9103,1.1193,pedestrian
001,360,7475,7482,8,-32.0839,-3.2529,-31.1905,-4.8060,2,2,0.9101,1.1075,pedestrian
001,361,7479,7553,75,8.2002,31.3913,-7.2946,31.4662,2,2,2.3791,10.9198,bus
001,362,7483,7530,15,-32.2402,-3.2082,-24.4908,-15.0022,2,1,0.9097,1.1596,pedestrian
001,363,7492,7773,282,47.0502,46.6150,17.9838,37.3280,7,6,1.5612,3.9505,car
001,364,7510,8050,541,-72.1488,48.5076,-16.3743,-43.2598,-1,4,1.4186,3.5767,car
001,365,7515,7549,15,14.2981,-26.9938,14.2693,-26.9937,2,2,1.0298,1.5143,pedestrian
001,366,7531,7574,44,-24.3410,-15.1692,-17.4572,-22.5340,1,1,0.9052,1.1589,motor
001,367,7554,7627,74,-9.8143,31.4421,-24.6076,34.0003,2,-1,2.2520,11.1671,bus
001,368,7582,7596,15,19.3991,30.7348,19.4304,30.7036,10,10,1.1824,1.5075,pedestrian
001,369,7584,8592,1009,-65.5674,47.6969,65.8865,44.3244,5,11,2.2807,6.3531,van
001,370,7602,8119,518,-71.3795,48.3364,-16.5989,-44.0850,-1,4,1.5284,3.9682,car
001,371,7628,7752,106,-27.3101,34.5254,-52.1585,45.9796,-1,9,2.2990,11.6776,freight_car
001,372,7631,7675,28,19.4025,30.7172,19.4148,30.7272,10,10,1.1370,1.4652,pedestrian
001,373,7660,7660,1,59.1476,35.4227,59.1476,35.4227,11,11,1.0475,1.2560,motor
001,374,7691,7693,3,-43.3179,40.5346,-43.5374,40.8999,9,9,3.3772,4.0944,tricycle
001,375,7696,7748,44,6.8579,-30.1051,16.3647,-26.2598,2,2,1.8043,2.5543,pedestrian
001,376,7701,7702,2,32.7803,-11.8435,32.6987,-11.8365,11,11,1.6941,2.0242,pedestrian
001,377,7718,8292,575,9.2892,-43.7903,-52.8447,48.9261,14,-1,1.5559,3.5117,car
001,378,7730,7730,1,35.8298,-6.1901,35.8298,-6.1901,11,11,0.9851,1.3123,pedestrian
001,379,7756,8100,345,12.0159,-43.7128,66.1986,45.2902,-1,12,1.3939,3.1978,car
001,380,7768,7828,61,20.0600,-22.8099,29.4737,-13.4483,2,2,1.0748,1.1648,motor
001,381,7768,7867,82,-30.7446,-3.7512,-26.1631,-21.5377,2,2,0.6784,1.3175,motor
001,382,7776,7778,3,40.7701,2.6844,40.9923,3.0581,11,11,0.9392,1.3321,pedestrian
001,383,7811,7954,126,9.0566,34.6003,-3.2248,27.3860,6,1,1.0110,1.1787,motor
001,384,7840,7842,3,19.3775,30.7469,19.3625,30.7646,10,10,1.2065,1.4894,pedestrian
001,385,7846,7846,1,22.0825,-28.4209,22.0825,-28.4209,-1,-1,0.7084,1.0599,people
001,386,7848,7851,4,45.4541,46.8718,45.1355,46.6788,7,7,1.4441,2.6943,motor
001,387,7861,7944,84,43.4557,46.0124,30.0005,39.3445,7,-1,1.1914,2.8574,car
001,388,7892,8018,65,19.4921,30.7561,19.5604,30.6787,10,10,1.1889,1.4353,pedestrian
001,389,7910,7955,46,40.1150,2.5689,45.4323,12.0955,11,11,0.8673,1.2342,motor
001,390,7916,7992,77,-22.8782,-30.2509,-17.8376,-43.4698,4,4,0.7854,1.3102,pedestrian
001,391,7930,8277,348,-69.6521,47.9917,-13.2823,-44.1479,-1,8,1.6249,4.0829,car
001,392,7963,7971,9,31.7879,-11.7444,32.5324,-10.5994,2,2,0.9326,1.2684,pedestrian
001,393,7965,7967,3,61.8579,38.4538,62.1650,38.7754,11,11,1.0922,1.1473,motor
001,394,7972,7996,25,25.2603,37.6467,21.0013,36.4834,6,6,1.5683,2.8357,tricycle
001,395,7987,8123,137,5.4730,-44.2348,5.4538,-44.2199,-1,-1,1.2936,2.2945,pedestrian
001,396,7993,8634,642,48.3501,45.6318,-13.3404,-44.5028,10,8,1.4338,3.4190,car
001,397,8017,8085,49,53.4476,25.3326,61.4631,37.6523,11,11,1.0195,1.2485,motor
001,398,8041,8409,351,13.0772,34.8634,-51.9479,49.0690,6,-1,1.2055,2.8837,car
001,399,8054,8397,344,-71.9837,48.0520,-15.3366,-44.3375,-1,4,1.6157,3.7628,car
001,400,8064,8065,2,-27.0223,-27.2484,-27.0208,-27.2502,3,3,1.2006,2.4217,car
001,401,8072,8116,45,41.2072,3.8064,44.5547,10.2873,11,11,0.8416,1.1447,motor
001,402,8086,8089,4,4.9054,33.7713,4.3767,33.7088,6,6,1.2627,2.7875,tricycle
001,403,8163,8169,7,-9.2049,33.6770,-10.3253,33.7653,6,6,1.4157,2.7941,tricycle
001,404,8173,8312,104,19.4475,30.7078,19.4672,30.7241,10,10,1.1602,1.4701,pedestrian
001,405,8190,8205,16,50.5174,21.0372,51.8573,23.1016,11,11,1.0636,1.3295,motor
001,406,8201,8710,510,48.4252,46.1253,-53.3537,48.8571,7,-1,1.5250,3.6925,car
001,407,8228,8598,371,39.2604,43.9005,-14.2417,23.4059,7,1,0.8915,1.3228,motor
001,408,8244,8249,6,-26.8432,4.3993,-26.9866,3.9877,1,1,0.8581,1.0976,people
001,409,8254,8344,44,56.0465,30.2067,64.5740,42.5936,11,11,0.9476,1.1646,motor
001,410,8273,8709,437,-71.4078,48.3767,-16.0392,-44.4177,-1,4,1.4745,3.6025,car
001,411,8386,8533,122,19.4498,30.7443,19.4376,30.7202,10,10,1.1111,1.4281,pedestrian
001,412,8391,8437,47,-28.5742,-12.9444,-27.0417,-19.0982,2,2,0.7561,1.3194,motor
001,413,8403,8771,335,34.6771,41.1754,-21.8336,19.9564,7,1,0.8485,1.2403,motor
001,414,8427,8427,1,-37.6297,-0.3298,-37.6297,-0.3298,3,3,0.8711,1.2655,pedestrian
001,415,8451,8455,5,-2.7583,35.2239,-2.7577,35.2237,6,6,0.5827,1.3278,motor
001,416,8501,8502,2,22.4387,-18.7144,22.5233,-18.4619,1,1,1.3640,3.3770,pedestrian
001,417,8560,8560,1,26.3402,-3.1199,26.3402,-3.1199,1,1,0.6932,1.2545,pedestrian
001,418,8567,8745,116,19.4751,30.6872,19.3085,30.7571,10,10,1.1924,1.4909,pedestrian
001,419,8597,8753,157,45.0503,46.2503,16.6081,34.5691,7,7,0.8977,1.1249,motor
001,420,8608,8608,1,25.8936,7.5725,25.8936,7.5725,1,1,0.6635,1.0784,people
001,421,8659,8659,1,20.4113,17.0649,20.4113,17.0649,1,1,1.0926,1.2687,pedestrian
001,422,8691,8691,1,14.2671,-26.8627,14.2671,-26.8627,2,2,1.0610,1.4418,pedestrian
001,423,8695,8696,2,42.0453,8.1714,42.1527,8.4753,12,12,1.3314,3.2702,car
001,424,8708,8735,28,-25.5916,10.3785,-26.7845,6.2482,1,1,0.7608,1.3440,motor
001,425,8723,9021,299,9.7124,-43.7206,63.9715,44.5294,14,12,1.6403,3.4308,car
001,426,8732,8916,139,6.6800,26.8570,-42.1683,43.2209,1,-1,0.8231,1.2409,motor
001,427,8766,9016,251,-3.2803,35.2001,-26.7686,17.5662,6,2,0.8838,1.2833,motor
001,428,8770,8772,3,24.4113,-23.9851,24.5472,-23.8030,2,2,0.8246,1.1095,motor
001,429,8787,8964,178,-27.8155,-1.9231,-23.1459,-29.1165,1,4,0.7118,1.3347,motor
001,430,8791,8814,24,9.4653,32.8678,5.1064,31.7731,2,2,0.7541,1.0905,motor
001,431,8792,8814,23,-24.0767,17.1871,-26.6372,15.4667,1,2,1.2952,2.9012,car
001,432,8802,8809,8,19.3256,30.7609,19.3245,30.7583,10,10,1.1939,1.4563,pedestrian
001,433,8815,8831,17,14.1971,-26.9494,14.1976,-26.9491,2,2,1.0210,1.5102,pedestrian
001,434,8855,8856,2,-31.1019,12.2021,-31.1089,12.0429,2,2,1.2249,2.6741,car
001,435,8861,8884,9,59.6290,36.7984,63.4822,41.3154,11,11,1.5954,3.1062,pedestrian
001,436,8871,8876,6,14.2031,-26.9490,14.2006,-26.9490,2,2,1.0167,1.5103,pedestrian
001,437,8877,8946,70,-6.8800,28.2337,-18.6410,21.0807,1,1,0.8451,1.0697,motor
001,438,8878,9021,144,-70.6220,47.9214,-39.2364,11.6739,-1,-1,1.6538,4.7569,van
001,439,8893,8921,29,-35.0212,9.1305,-38.2819,7.0612,-1,-1,1.3150,2.9171,car
001,440,8912,8913,2,19.2711,30.7298,19.2711,30.7243,10,10,1.1765,1.5763,pedestrian
001,441,8967,9018,52,19.2599,30.7847,19.2877,30.7786,10,10,1.1937,1.4654,pedestrian
001,442,8980,8981,2,36.6256,4.9012,36.6703,5.0326,13,13,1.4006,3.1593,pedestrian
001,443,8982,8982,1,36.7389,5.7937,36.7389,5.7937,13,13,1.2444,1.8222,pedestrian
001,444,9010,9021,12,-25.5624,10.7114,-26.2429,8.7396,1,1,0.7231,1.1254,motor
