dataset_id,version,raw_object_id,filter_type,filter_reason,fragmentation_group_id,related_raw_object_ids,fragmentation_score,quality_score,start_frame,end_frame,total_frames,class_name_mode
cao_qiao_001,moving_filtered,3,static_gate,"low_displacement,low_stationary_extent,low_mean_speed,high_static_ratio",,,,6489.3749,0,9021,9022,car
cao_qiao_001,moving_filtered,5,static_gate,"low_displacement,low_stationary_extent,low_mean_speed,high_static_ratio",,,,5233.2512,0,9021,9011,car
cao_qiao_001,moving_filtered,6,short_track_filter,track_duration_too_short,,,,69.8717,0,95,96,car
cao_qiao_001,moving_filtered,7,short_track_filter,track_duration_too_short,,,,11.5430,0,15,16,car
cao_qiao_001,moving_filtered,9,short_track_filter,track_duration_too_short,,,,85.7912,0,114,115,car
cao_qiao_001,moving_filtered,11,static_gate,"low_displacement,low_stationary_extent,low_mean_speed,high_static_ratio",,,,5796.0132,0,9021,9022,car
cao_qiao_001,moving_filtered,13,static_gate,"low_displacement,low_stationary_extent,low_mean_speed,high_static_ratio",,,,6068.2701,0,9021,9022,van
cao_qiao_001,moving_filtered,14,static_gate,"low_displacement,low_stationary_extent,low_mean_speed,high_static_ratio",,,,5359.6900,0,9021,9022,car
cao_qiao_001,moving_filtered,15,static_gate,"low_displacement,low_stationary_extent,low_mean_speed,high_static_ratio",,,,5359.5784,0,9021,9022,car
cao_qiao_001,moving_filtered,16,static_gate,"low_stationary_extent,low_mean_speed,high_static_ratio",,,,3101.0373,0,5635,5636,car
cao_qiao_001,moving_filtered,17,static_gate,"low_displacement,low_stationary_extent,low_mean_speed,high_static_ratio",,,,2564.0194,0,5779,5682,car
cao_qiao_001,moving_filtered,18,static_gate,"low_displacement,low_stationary_extent,low_mean_speed,high_static_ratio",,,,2563.3136,0,5673,5583,car
cao_qiao_001,moving_filtered,19,static_gate,"low_displacement,low_stationary_extent,low_mean_speed,high_static_ratio",,,,256.5397,0,694,657,car
cao_qiao_001,moving_filtered,20,missing_ratio_filter,missing_ratio_exceeded,,,,19.4027,0,117,54,car
cao_qiao_001,moving_filtered,27,missing_ratio_filter,missing_ratio_exceeded,,,,13.5651,1,52,26,car
cao_qiao_001,moving_filtered,30,short_track_filter,track_duration_too_short,,,,0.3035,27,27,1,van
cao_qiao_001,moving_filtered,40,missing_ratio_filter,missing_ratio_exceeded,,,,8.0891,168,215,20,car
cao_qiao_001,moving_filtered,41,missing_ratio_filter,missing_ratio_exceeded,,,,69.1346,219,535,185,car
cao_qiao_001,moving_filtered,42,missing_ratio_filter,missing_ratio_exceeded,,,,2.2223,197,236,7,van
cao_qiao_001,moving_filtered,53,missing_ratio_filter,missing_ratio_exceeded,,,,100.9971,316,699,193,car
cao_qiao_001,moving_filtered,67,short_track_filter,track_duration_too_short,,,,20.4163,500,544,39,car
cao_qiao_001,moving_filtered,78,missing_ratio_filter,missing_ratio_exceeded,,,,8.3411,594,651,24,car
cao_qiao_001,moving_filtered,100,missing_ratio_filter,missing_ratio_exceeded,,,,23.3484,791,902,41,car
cao_qiao_001,moving_filtered,109,missing_ratio_filter,missing_ratio_exceeded,,,,58.2006,856,1253,160,car
cao_qiao_001,moving_filtered,129,missing_ratio_filter,missing_ratio_exceeded,,,,10.0785,1126,1286,31,van
cao_qiao_001,moving_filtered,131,short_track_filter,track_duration_too_short,,,,4.4872,1187,1203,14,car
cao_qiao_001,moving_filtered,138,short_track_filter,track_duration_too_short,,,,1.1073,1311,1313,3,car
cao_qiao_001,moving_filtered,146,missing_ratio_filter,missing_ratio_exceeded,,,,37.0231,1384,1716,103,car
cao_qiao_001,moving_filtered,153,missing_ratio_filter,missing_ratio_exceeded,,,,1.5663,1523,1568,5,van
cao_qiao_001,moving_filtered,155,short_track_filter,track_duration_too_short,,,,7.5610,1536,1561,23,car
cao_qiao_001,moving_filtered,164,short_track_filter,track_duration_too_short,,,,0.6007,1656,1656,1,car
cao_qiao_001,moving_filtered,165,short_track_filter,track_duration_too_short,,,,0.4367,1656,1656,1,car
cao_qiao_001,moving_filtered,166,short_track_filter,track_duration_too_short,,,,0.3707,1656,1656,1,car
cao_qiao_001,moving_filtered,168,short_track_filter,track_duration_too_short,,,,0.4854,1656,1656,1,car
cao_qiao_001,moving_filtered,178,missing_ratio_filter,missing_ratio_exceeded,,,,0.6322,1668,1694,2,van
cao_qiao_001,moving_filtered,184,missing_ratio_filter,missing_ratio_exceeded,,,,493.9828,1793,4367,1354,car
cao_qiao_001,moving_filtered,187,missing_ratio_filter,missing_ratio_exceeded,,,,3.8248,1825,1876,12,van
cao_qiao_001,moving_filtered,188,missing_ratio_filter,missing_ratio_exceeded,,,,1.2316,1836,1842,4,car
cao_qiao_001,moving_filtered,196,short_track_filter,track_duration_too_short,,,,0.3087,2102,2102,1,truck
cao_qiao_001,moving_filtered,198,missing_ratio_filter,missing_ratio_exceeded,,,,11.5513,2131,2185,30,car
cao_qiao_001,moving_filtered,199,missing_ratio_filter,missing_ratio_exceeded,,,,19.3182,2154,2364,58,van
cao_qiao_001,moving_filtered,205,missing_ratio_filter,missing_ratio_exceeded,,,,0.6243,2208,2244,2,car
cao_qiao_001,moving_filtered,207,missing_ratio_filter,missing_ratio_exceeded,,,,17.2403,2249,2379,45,car
cao_qiao_001,moving_filtered,220,missing_ratio_filter,missing_ratio_exceeded,,,,6.3091,2442,2493,19,van
cao_qiao_001,moving_filtered,225,missing_ratio_filter,missing_ratio_exceeded,,,,45.3336,2523,2757,115,car
cao_qiao_001,moving_filtered,232,short_track_filter,track_duration_too_short,,,,0.9253,2555,2557,3,car
cao_qiao_001,moving_filtered,237,missing_ratio_filter,missing_ratio_exceeded,,,,3.6377,2655,2712,11,van
cao_qiao_001,moving_filtered,263,short_track_filter,track_duration_too_short,,,,0.3139,3139,3139,1,van
