dataset_id,version,raw_object_id,final_object_id,class_name_mode,start_frame,end_frame,total_frames,mean_confidence,is_kept,is_filtered,filter_type,filter_reason,fragmentation_group_id,quality_score
cao_qiao_001,moving_filtered,164,,car,1656,1656,1,0.6007,false,true,short_track_filter,track_duration_too_short,,0.6007
cao_qiao_001,moving_filtered,165,,car,1656,1656,1,0.4367,false,true,short_track_filter,track_duration_too_short,,0.4367
cao_qiao_001,moving_filtered,166,,car,1656,1656,1,0.3707,false,true,short_track_filter,track_duration_too_short,,0.3707
cao_qiao_001,moving_filtered,168,,car,1656,1656,1,0.4854,false,true,short_track_filter,track_duration_too_short,,0.4854
cao_qiao_001,moving_filtered,178,,van,1668,1694,2,0.3161,false,true,missing_ratio_filter,missing_ratio_exceeded,,0.6322
cao_qiao_001,moving_filtered,179,35,car,1689,2263,575,0.7710,true,false,,,,443.3433
cao_qiao_001,moving_filtered,184,,car,1793,4367,1354,0.3648,false,true,missing_ratio_filter,missing_ratio_exceeded,,493.9828
cao_qiao_001,moving_filtered,187,,van,1825,1876,12,0.3187,false,true,missing_ratio_filter,missing_ratio_exceeded,,3.8248
cao_qiao_001,moving_filtered,188,,car,1836,1842,4,0.3079,false,true,missing_ratio_filter,missing_ratio_exceeded,,1.2316
cao_qiao_001,moving_filtered,196,,truck,2102,2102,1,0.3087,false,true,short_track_filter,track_duration_too_short,,0.3087
cao_qiao_001,moving_filtered,198,,car,2131,2185,30,0.3850,false,true,missing_ratio_filter,missing_ratio_exceeded,,11.5513
cao_qiao_001,moving_filtered,199,,van,2154,2364,58,0.3331,false,true,missing_ratio_filter,missing_ratio_exceeded,,19.3182
cao_qiao_001,moving_filtered,205,,car,2208,2244,2,0.3122,false,true,missing_ratio_filter,missing_ratio_exceeded,,0.6243
cao_qiao_001,moving_filtered,207,,car,2249,2379,45,0.3831,false,true,missing_ratio_filter,missing_ratio_exceeded,,17.2403
cao_qiao_001,moving_filtered,210,38,car,2276,2983,708,0.7619,true,false,,,,539.4306
cao_qiao_001,moving_filtered,214,39,car,2318,2680,363,0.7405,true,false,,,,268.7896
cao_qiao_001,moving_filtered,219,40,car,2406,2619,200,0.5196,true,false,,,,103.9105
cao_qiao_001,moving_filtered,220,,van,2442,2493,19,0.3321,false,true,missing_ratio_filter,missing_ratio_exceeded,,6.3091
cao_qiao_001,moving_filtered,221,41,car,2426,2820,395,0.7713,true,false,,,,304.6818
cao_qiao_001,moving_filtered,225,,car,2523,2757,115,0.3942,false,true,missing_ratio_filter,missing_ratio_exceeded,,45.3336
cao_qiao_001,moving_filtered,226,42,truck,2533,2887,355,0.6906,true,false,,,,245.1567
cao_qiao_001,moving_filtered,227,43,car,2541,3145,605,0.7473,true,false,,,,452.1139
cao_qiao_001,moving_filtered,232,,car,2555,2557,3,0.3084,false,true,short_track_filter,track_duration_too_short,,0.9253
cao_qiao_001,moving_filtered,237,,van,2655,2712,11,0.3307,false,true,missing_ratio_filter,missing_ratio_exceeded,,3.6377
cao_qiao_001,moving_filtered,238,44,car,2665,3429,765,0.7079,true,false,,,,541.5267
cao_qiao_001,moving_filtered,243,45,car,2788,3359,572,0.7488,true,false,,,,428.3072
cao_qiao_001,moving_filtered,249,47,car,2854,3202,349,0.7309,true,false,,,,255.0749
cao_qiao_001,moving_filtered,251,48,car,2871,3072,198,0.4822,true,false,,,,95.4796
cao_qiao_001,moving_filtered,252,49,car,2882,3389,508,0.7213,true,false,,,,366.4312
cao_qiao_001,moving_filtered,255,50,car,2915,3216,302,0.7005,true,false,,,,211.5516
cao_qiao_001,moving_filtered,258,51,car,2975,3562,588,0.7429,true,false,,,,436.8521
cao_qiao_001,moving_filtered,261,52,car,3066,3595,530,0.7084,true,false,,,,375.4417
cao_qiao_001,moving_filtered,263,,van,3139,3139,1,0.3139,false,true,short_track_filter,track_duration_too_short,,0.3139
cao_qiao_001,moving_filtered,266,53,car,3127,3941,815,0.7566,true,false,,,,616.6667
cao_qiao_001,moving_filtered,271,56,car,3174,3985,812,0.7434,true,false,,,,603.6374
cao_qiao_001,moving_filtered,272,57,car,3208,3550,343,0.7744,true,false,,,,265.6247
cao_qiao_001,moving_filtered,276,58,car,3296,3657,362,0.7182,true,false,,,,259.9876
cao_qiao_001,moving_filtered,277,59,car,3303,3793,491,0.7457,true,false,,,,366.1241
cao_qiao_001,moving_filtered,285,,van,3556,3559,4,0.3186,false,true,short_track_filter,track_duration_too_short,,1.2745
cao_qiao_001,moving_filtered,286,60,car,3507,4073,567,0.7764,true,false,,,,440.1958
cao_qiao_001,moving_filtered,288,,car,3542,3542,1,0.3039,false,true,short_track_filter,track_duration_too_short,,0.3039
cao_qiao_001,moving_filtered,301,61,car,3722,4393,672,0.7164,true,false,,,,481.4440
cao_qiao_001,moving_filtered,302,62,car,3724,4218,495,0.7271,true,false,,,,359.9381
cao_qiao_001,moving_filtered,303,,car,3742,4069,132,0.4462,false,true,missing_ratio_filter,missing_ratio_exceeded,,58.9045
cao_qiao_001,moving_filtered,304,,van,3749,3842,38,0.3186,false,true,missing_ratio_filter,missing_ratio_exceeded,,12.1072
cao_qiao_001,moving_filtered,305,63,car,3745,4141,397,0.7190,true,false,,,,285.4417
cao_qiao_001,moving_filtered,309,64,car,3815,4307,493,0.7770,true,false,,,,383.0512
cao_qiao_001,moving_filtered,315,65,van,3916,4438,523,0.6812,true,false,,,,356.2915
cao_qiao_001,moving_filtered,318,66,van,3937,4716,780,0.6358,true,false,,,,495.9260
cao_qiao_001,moving_filtered,320,67,car,3948,4809,862,0.7325,true,false,,,,631.3750
cao_qiao_001,moving_filtered,323,68,car,3984,4647,664,0.7292,true,false,,,,484.1687
cao_qiao_001,moving_filtered,324,,van,4001,4109,9,0.3231,false,true,missing_ratio_filter,missing_ratio_exceeded,,2.9080
cao_qiao_001,moving_filtered,326,69,car,4014,4317,304,0.7439,true,false,,,,226.1422
cao_qiao_001,moving_filtered,328,70,car,4023,4545,520,0.7227,true,false,,,,375.7988
cao_qiao_001,moving_filtered,332,71,car,4107,4653,547,0.7326,true,false,,,,400.7260
cao_qiao_001,moving_filtered,339,,car,4165,4266,43,0.5098,false,true,missing_ratio_filter,missing_ratio_exceeded,,21.9214
cao_qiao_001,moving_filtered,345,73,car,4211,4559,349,0.7022,true,false,,,,245.0740
cao_qiao_001,moving_filtered,346,,car,4226,4247,16,0.3139,false,true,short_track_filter,track_duration_too_short,,5.0227
cao_qiao_001,moving_filtered,349,,truck,4258,4423,29,0.3229,false,true,missing_ratio_filter,missing_ratio_exceeded,,9.3646
cao_qiao_001,moving_filtered,355,75,car,4374,6928,2523,0.5977,true,false,,,,1507.9485
cao_qiao_001,moving_filtered,358,,car,4429,5080,472,0.3619,false,true,static_gate,"low_displacement,low_path_length,low_stationary_extent,low_mean_speed,high_static_ratio",,170.7967
cao_qiao_001,moving_filtered,369,,car,4532,4536,5,0.3067,false,true,short_track_filter,track_duration_too_short,,1.5337
cao_qiao_001,moving_filtered,375,,van,4607,4653,15,0.3312,false,true,missing_ratio_filter,missing_ratio_exceeded,,4.9686
cao_qiao_001,moving_filtered,381,77,car,4706,5056,351,0.7086,true,false,,,,248.7325
cao_qiao_001,moving_filtered,385,78,car,4739,5623,885,0.7669,true,false,,,,678.6736
cao_qiao_001,moving_filtered,386,79,car,4745,5119,375,0.7757,true,false,,,,290.8885
cao_qiao_001,moving_filtered,387,80,car,4772,5527,756,0.7436,true,false,,,,562.1553
cao_qiao_001,moving_filtered,391,,van,4880,4922,43,0.3378,false,true,short_track_filter,track_duration_too_short,,14.5251
cao_qiao_001,moving_filtered,395,81,car,4894,6047,1154,0.7645,true,false,,,,882.1859
cao_qiao_001,moving_filtered,402,82,car,4927,5976,1050,0.7565,true,false,,,,794.3484
cao_qiao_001,moving_filtered,409,,car,4979,5060,40,0.4224,false,true,missing_ratio_filter,missing_ratio_exceeded,,16.8958
cao_qiao_001,moving_filtered,412,83,car,5007,5417,411,0.7828,true,false,,,,321.7379
cao_qiao_001,moving_filtered,413,84,car,5012,5768,757,0.7346,true,false,,,,556.0651
cao_qiao_001,moving_filtered,434,,car,5175,5176,2,0.4553,false,true,short_track_filter,track_duration_too_short,,0.9107
cao_qiao_001,moving_filtered,438,86,truck,5222,5898,677,0.6063,true,false,,,,410.4502
cao_qiao_001,moving_filtered,454,88,car,5387,6162,776,0.7562,true,false,,,,586.8338
cao_qiao_001,moving_filtered,456,,car,5404,5778,108,0.4991,false,true,missing_ratio_filter,missing_ratio_exceeded,,53.9022
cao_qiao_001,moving_filtered,458,,car,5445,5455,6,0.3419,false,true,missing_ratio_filter,missing_ratio_exceeded,,2.0511
cao_qiao_001,moving_filtered,461,89,car,5474,6013,540,0.7111,true,false,,,,384.0012
cao_qiao_001,moving_filtered,467,90,car,5512,6398,887,0.7285,true,false,,,,646.1621
cao_qiao_001,moving_filtered,471,91,car,5593,6079,487,0.7482,true,false,,,,364.3649
cao_qiao_001,moving_filtered,473,92,car,5602,6070,469,0.6883,true,false,,,,322.8259
cao_qiao_001,moving_filtered,479,,car,5725,5894,94,0.3398,false,true,missing_ratio_filter,missing_ratio_exceeded,,31.9444
cao_qiao_001,moving_filtered,482,94,car,5748,6258,511,0.7523,true,false,,,,384.4074
cao_qiao_001,moving_filtered,489,95,car,5817,6504,688,0.7694,true,false,,,,529.3757
cao_qiao_001,moving_filtered,490,96,car,5857,6234,378,0.7203,true,false,,,,272.2906
cao_qiao_001,moving_filtered,492,,car,5864,5869,2,0.4539,false,true,missing_ratio_filter,missing_ratio_exceeded,,0.9079
cao_qiao_001,moving_filtered,505,,car,5943,5944,2,0.3268,false,true,short_track_filter,track_duration_too_short,,0.6536
cao_qiao_001,moving_filtered,507,97,car,5957,6414,458,0.7011,true,false,,,,321.0918
cao_qiao_001,moving_filtered,511,98,truck,6008,6391,378,0.6389,true,false,,,,241.5041
cao_qiao_001,moving_filtered,512,,car,6010,6253,87,0.4127,false,true,missing_ratio_filter,missing_ratio_exceeded,,35.9045
cao_qiao_001,moving_filtered,514,,car,6020,6152,65,0.3591,false,true,missing_ratio_filter,missing_ratio_exceeded,,23.3394
cao_qiao_001,moving_filtered,517,99,car,6059,6406,348,0.7416,true,false,,,,258.0692
cao_qiao_001,moving_filtered,526,101,car,6128,6629,502,0.7271,true,false,,,,365.0096
cao_qiao_001,moving_filtered,527,102,van,6130,6558,429,0.7626,true,false,,,,327.1497
cao_qiao_001,moving_filtered,533,103,car,6175,6700,526,0.7118,true,false,,,,374.4288
cao_qiao_001,moving_filtered,536,,car,6201,6249,22,0.3233,false,true,missing_ratio_filter,missing_ratio_exceeded,,7.1128
cao_qiao_001,moving_filtered,537,104,car,6216,6692,477,0.7349,true,false,,,,350.5530
cao_qiao_001,moving_filtered,538,105,car,6218,6593,376,0.7327,true,false,,,,275.4832
cao_qiao_001,moving_filtered,544,107,car,6321,6833,513,0.7629,true,false,,,,391.3783
cao_qiao_001,moving_filtered,559,,car,6565,6587,7,0.3517,false,true,missing_ratio_filter,missing_ratio_exceeded,,2.4619
cao_qiao_001,moving_filtered,566,,car,6653,6932,58,0.3164,false,true,missing_ratio_filter,missing_ratio_exceeded,,18.3515
cao_qiao_001,moving_filtered,574,108,car,6778,7154,377,0.7139,true,false,,,,269.1470
cao_qiao_001,moving_filtered,576,109,car,6801,7201,401,0.7729,true,false,,,,309.9375
cao_qiao_001,moving_filtered,577,110,car,6859,7205,347,0.5331,true,false,,,,184.9990
cao_qiao_001,moving_filtered,582,111,car,6973,7312,340,0.7086,true,false,,,,240.9254
cao_qiao_001,moving_filtered,583,112,car,6973,7267,295,0.7189,true,false,,,,212.0836
cao_qiao_001,moving_filtered,593,113,car,7090,7704,615,0.7543,true,false,,,,463.8671
cao_qiao_001,moving_filtered,604,115,freight_car,7310,7752,375,0.6086,true,false,,,,228.2405
cao_qiao_001,moving_filtered,618,116,car,7385,8105,721,0.7364,true,false,,,,530.9158
cao_qiao_001,moving_filtered,619,117,car,7387,8226,840,0.6888,true,false,,,,578.6180
cao_qiao_001,moving_filtered,624,118,car,7431,8078,648,0.7389,true,false,,,,478.8392
