recordingId,trackId,raw_object_id,initialFrame,finalFrame,numFrames,startXCenter,startYCenter,endXCenter,endYCenter,startLaneId,endLaneId,width,length,raw_mean_width,raw_mean_height,corrected_width,corrected_height,box_orientation_source,missing_ratio,class
001,1,1,0,955,956,-63.0151,45.5397,65.2335,48.5664,5,13,1.4917,3.2434,1.4917,3.2434,1.4917,3.2434,heading_corrected_from_hbb,0.0000,car
001,2,2,0,575,576,46.6392,45.5846,-40.8647,6.6118,7,3,1.5574,3.4445,1.5574,3.4445,1.5574,3.4445,heading_corrected_from_hbb,0.0000,car
001,3,4,0,206,207,-33.8544,-1.4084,-15.3883,-44.0893,2,4,1.5077,3.4732,1.5077,3.4732,1.5077,3.4732,heading_corrected_from_hbb,0.0000,car
001,4,8,0,259,260,33.4441,-4.6921,68.3532,48.4717,2,12,1.5104,3.3875,1.5104,3.3875,1.5104,3.3875,heading_corrected_from_hbb,0.0000,car
001,5,10,0,465,466,-32.3241,-11.0193,-53.5121,40.9778,3,5,1.0872,2.4265,1.0872,2.4265,1.0872,2.4265,heading_corrected_from_hbb,0.0064,car
001,6,12,0,266,267,21.9803,35.4075,-49.7835,47.0341,7,-1,2.1475,8.8791,2.1475,8.8791,2.1475,8.8791,heading_corrected_from_hbb,0.0000,truck
001,7,100022,0,517,518,37.2098,41.1860,-16.4920,-39.1458,7,4,0.8341,1.3608,0.8341,1.3608,0.8341,1.3608,heading_corrected_from_hbb,0.1429,motor
001,8,100023,0,92,93,-27.1730,34.4665,-16.9009,35.0379,-1,6,0.7085,0.7705,0.7085,0.7705,0.7085,0.7705,heading_corrected_from_hbb,0.0000,people
001,9,31,32,687,656,49.2125,47.9505,-12.8960,-44.3323,7,8,1.5474,3.5282,1.5474,3.5282,1.5474,3.5282,heading_corrected_from_hbb,0.0000,car
001,10,100045,305,576,272,-17.7919,-24.7967,-17.8760,-24.8118,2,2,1.3453,1.3453,0.8632,1.3453,1.3453,1.3453,heading_corrected_from_hbb,0.3309,pedestrian
001,11,100052,340,649,310,37.4159,0.2461,68.5148,46.9515,12,12,1.0184,1.3046,1.0184,1.3046,1.0184,1.3046,heading_corrected_from_hbb,0.2355,motor
001,12,57,363,1692,1330,-72.5772,48.9454,63.7129,47.4240,-1,13,1.5360,3.2258,1.5360,3.2258,1.5360,3.2258,heading_corrected_from_hbb,0.0000,car
001,13,100060,421,633,213,52.0177,26.3139,68.4549,49.4356,12,12,1.1336,1.3077,1.1336,1.3077,1.1336,1.3077,heading_corrected_from_hbb,0.2817,motor
001,14,72,547,884,338,-71.4065,47.9225,-16.3201,-44.2842,-1,4,1.6047,3.9801,1.6047,3.9801,1.6047,3.9801,heading_corrected_from_hbb,0.0000,car
001,15,74,557,1021,465,-66.9223,47.7852,-13.3185,-44.3199,5,8,1.3035,3.5186,1.3035,3.5186,1.3035,3.5186,heading_corrected_from_hbb,0.0000,car
001,16,100077,574,1559,986,-75.0448,48.5146,-18.3718,-43.9941,3,4,1.1329,1.7352,1.1329,1.7352,1.1329,1.7352,heading_corrected_from_hbb,0.0659,motor
001,17,79,587,972,386,-70.8892,47.9231,-15.8803,-44.3883,-1,4,1.4825,3.6121,1.4825,3.6121,1.4825,3.6121,heading_corrected_from_hbb,0.0000,car
001,18,92,722,1740,1019,-71.2254,47.4832,67.4173,47.1109,-1,12,1.5020,3.3802,1.5020,3.3802,1.5020,3.3802,heading_corrected_from_hbb,0.0000,car
001,19,93,726,1181,456,-67.0381,48.2741,-13.0812,-44.4860,5,8,1.4404,3.3941,1.4404,3.3941,1.4404,3.3941,heading_corrected_from_hbb,0.0000,car
001,20,100095,742,1608,867,50.2539,49.3051,-18.1580,-40.6333,7,4,0.8291,1.3624,0.8291,1.3624,0.8291,1.3624,heading_corrected_from_hbb,0.0761,motor
001,21,98,763,1746,984,12.6392,-44.2694,-52.2095,48.9580,-1,-1,1.4747,3.4792,1.4747,3.4792,1.4747,3.4792,heading_corrected_from_hbb,0.0000,car
001,22,100103,812,1313,502,-13.2217,28.0076,-20.4742,-38.1357,2,4,0.8504,1.4437,0.8504,1.4437,0.8504,1.4437,heading_corrected_from_hbb,0.1554,motor
001,23,100106,821,1363,543,13.5243,-43.9618,71.0871,49.4022,-1,12,1.0006,1.4056,1.0006,1.4056,1.0006,1.4056,heading_corrected_from_hbb,0.1142,motor
001,24,110,861,1399,539,-70.4258,47.7392,-15.5123,-44.4150,-1,4,1.5409,3.6306,1.5409,3.6306,1.5409,3.6306,heading_corrected_from_hbb,0.0000,car
001,25,100112,909,1192,284,14.6207,-42.5077,28.5298,-17.4080,-1,2,0.7580,1.2842,0.7580,1.2842,0.7580,1.2842,heading_corrected_from_hbb,0.2817,motor
001,26,114,930,1468,539,-71.0424,47.7734,-15.5589,-44.3612,-1,4,1.4509,3.5418,1.4509,3.5418,1.4509,3.5418,heading_corrected_from_hbb,0.0000,car
