dataset_id,object_id,class_name,start_frame,end_frame,total_frames,mean_confidence,start_cx,start_cy,end_cx,end_cy,displacement,path_length,mean_speed,max_speed,static_ratio,is_static,filter_reason
cao_qiao_001,178,van,1668,1694,2,0.316124,2723.443481,801.277832,2723.635742,801.302383,0.193822,0.193822,0.007455,0.007455,1.000000,False,
cao_qiao_001,179,car,1689,2263,575,0.771032,2119.297119,2126.335327,619.186951,40.182076,2569.506938,3472.143496,6.049030,7.625957,0.000000,False,
cao_qiao_001,187,van,1825,1876,12,0.318737,2723.635559,801.408691,2723.513611,801.302002,0.162031,0.686995,0.034104,0.067755,1.000000,False,
cao_qiao_001,188,car,1836,1842,4,0.307909,1460.216980,295.673615,1460.233704,295.899719,0.226722,0.244758,0.038629,0.062629,1.000000,False,
cao_qiao_001,196,truck,2102,2102,1,0.308744,2720.278992,801.511414,2720.278992,801.511414,0.000000,0.000000,0.000000,0.000000,1.000000,False,
cao_qiao_001,198,car,2131,2185,30,0.385045,2228.859680,2119.576416,2299.702026,1987.543823,149.837390,153.479746,2.952306,4.673802,0.103448,False,
cao_qiao_001,205,car,2208,2244,2,0.312154,1460.294983,295.927094,1460.139221,295.841003,0.177970,0.177970,0.004944,0.004944,1.000000,False,
cao_qiao_001,207,car,2249,2379,45,0.383118,2383.405884,1823.197906,2563.005981,1482.625977,385.026537,388.080458,3.014844,4.296546,0.022727,False,
cao_qiao_001,210,car,2276,2983,708,0.761908,2092.744446,2124.027588,653.597412,37.307156,2534.866140,3447.863729,4.876752,9.547085,0.000000,False,
cao_qiao_001,214,car,2318,2680,363,0.740467,3011.696472,71.528199,717.266174,40.346066,2294.642176,2447.414126,6.760813,11.428649,0.000000,False,
cao_qiao_001,219,car,2406,2619,200,0.519552,2208.919678,2134.568909,2464.720703,1808.380371,414.527595,446.700876,2.091086,4.695463,0.286432,False,
cao_qiao_001,220,van,2442,2493,19,0.332056,2723.518127,801.348526,2723.520630,801.402161,0.053693,1.216933,0.048369,0.143367,1.000000,False,
