dataset_id,frame_id,timestamp,width,height,num_objects,output_frame
cao_qiao_001,121,4.037371,3840,2160,9,121
cao_qiao_001,122,4.070737,3840,2160,10,122
cao_qiao_001,123,4.104104,3840,2160,10,123
cao_qiao_001,124,4.137471,3840,2160,10,124
cao_qiao_001,125,4.170838,3840,2160,11,125
cao_qiao_001,126,4.204204,3840,2160,10,126
cao_qiao_001,127,4.237571,3840,2160,9,127
cao_qiao_001,128,4.270938,3840,2160,9,128
cao_qiao_001,129,4.304304,3840,2160,9,129
cao_qiao_001,130,4.337671,3840,2160,10,130
cao_qiao_001,131,4.371038,3840,2160,10,131
cao_qiao_001,132,4.404404,3840,2160,9,132
cao_qiao_001,133,4.437771,3840,2160,8,133
cao_qiao_001,134,4.471138,3840,2160,8,134
cao_qiao_001,135,4.504505,3840,2160,8,135
cao_qiao_001,136,4.537871,3840,2160,8,136
cao_qiao_001,137,4.571238,3840,2160,8,137
cao_qiao_001,138,4.604605,3840,2160,8,138
cao_qiao_001,139,4.637971,3840,2160,8,139
cao_qiao_001,140,4.671338,3840,2160,8,140
cao_qiao_001,141,4.704705,3840,2160,8,141
cao_qiao_001,142,4.738071,3840,2160,8,142
cao_qiao_001,143,4.771438,3840,2160,8,143
cao_qiao_001,144,4.804805,3840,2160,8,144
cao_qiao_001,145,4.838172,3840,2160,9,145
cao_qiao_001,146,4.871538,3840,2160,8,146
cao_qiao_001,147,4.904905,3840,2160,8,147
cao_qiao_001,148,4.938272,3840,2160,8,148
cao_qiao_001,149,4.971638,3840,2160,8,149
cao_qiao_001,150,5.005005,3840,2160,8,150
cao_qiao_001,151,5.038372,3840,2160,8,151
cao_qiao_001,152,5.071738,3840,2160,8,152
cao_qiao_001,153,5.105105,3840,2160,8,153
cao_qiao_001,154,5.138472,3840,2160,8,154
cao_qiao_001,155,5.171839,3840,2160,8,155
cao_qiao_001,156,5.205205,3840,2160,8,156
cao_qiao_001,157,5.238572,3840,2160,9,157
cao_qiao_001,158,5.271939,3840,2160,9,158
