recordingId,trackId,raw_object_id,initialFrame,finalFrame,numFrames,startXCenter,startYCenter,endXCenter,endYCenter,startLaneId,endLaneId,width,length,raw_mean_width,raw_mean_height,corrected_width,corrected_height,box_orientation_source,missing_ratio,class
001,111,507,5957,6414,458,49.5208,46.3750,-13.3299,-43.9388,-1,8,1.5129,3.5549,1.5129,3.5549,1.5129,3.5549,heading_corrected_from_hbb,0.0000,car
001,112,100509,5985,6164,180,45.4495,47.0586,20.4484,36.6879,7,6,0.8308,1.2356,0.8308,1.2356,0.8308,1.2356,heading_corrected_from_hbb,0.1111,motor
001,113,511,6008,6391,384,-69.7990,47.2033,-16.4493,-42.9626,-1,4,2.1580,6.8178,2.1580,6.8178,2.1580,6.8178,heading_corrected_from_hbb,0.0156,truck
001,114,517,6059,6406,348,47.4334,46.3206,-54.9655,48.9482,7,-1,1.4358,3.9803,1.4358,3.9803,1.4358,3.9803,heading_corrected_from_hbb,0.0000,car
001,115,100520,6085,6848,764,23.1475,-16.4968,-54.4759,49.6252,1,-1,0.7856,1.3304,0.7856,1.3304,0.7856,1.3304,heading_corrected_from_hbb,0.1518,motor
001,116,526,6128,6629,502,-71.7521,48.3849,-15.2822,-44.2082,-1,4,1.4855,3.5898,1.4855,3.5898,1.4855,3.5898,heading_corrected_from_hbb,0.0000,car
001,117,527,6130,6558,429,51.2416,46.5058,-52.5447,48.3538,10,-1,1.8320,4.6320,1.8320,4.6320,1.8320,4.6320,heading_corrected_from_hbb,0.0000,van
001,118,533,6175,6700,526,51.8997,46.5106,-12.5179,-44.0995,10,8,1.4019,3.4874,1.4019,3.4874,1.4019,3.4874,heading_corrected_from_hbb,0.0000,car
001,119,100534,6188,6338,151,-31.9818,4.3502,-31.5844,-11.0730,2,3,0.6026,1.2702,0.6026,1.2702,0.6026,1.2702,heading_corrected_from_hbb,0.1523,motor
001,120,100535,6193,6857,665,44.5030,47.2415,-52.4068,49.8625,-1,-1,0.9006,1.3918,0.9006,1.3918,0.9006,1.3918,heading_corrected_from_hbb,0.0617,motor
001,121,537,6216,6692,477,-71.4780,48.2831,-15.6467,-44.2773,-1,4,1.4571,3.6769,1.4571,3.6769,1.4571,3.6769,heading_corrected_from_hbb,0.0000,car
001,122,538,6218,6593,376,12.1869,-43.5600,65.9624,45.5955,-1,12,1.5251,3.2854,1.5251,3.2854,1.5251,3.2854,heading_corrected_from_hbb,0.0000,car
001,123,100542,6270,6546,277,4.5738,34.7829,-33.6379,40.6179,6,6,0.7050,1.3392,0.7050,1.3392,0.7050,1.3392,heading_corrected_from_hbb,0.1805,motor
001,124,544,6321,6833,513,49.8433,46.2651,-13.3891,-44.1185,10,8,1.5692,3.4916,1.5692,3.4916,1.5692,3.4916,heading_corrected_from_hbb,0.0000,car
001,125,574,6778,7154,377,9.6675,-43.7436,61.8421,45.7778,14,13,1.5232,3.4524,1.5232,3.4524,1.5232,3.4524,heading_corrected_from_hbb,0.0000,car
001,126,576,6801,7201,401,46.6452,46.9012,-52.3179,48.9504,7,-1,1.4932,3.5042,1.4932,3.5042,1.4932,3.5042,heading_corrected_from_hbb,0.0000,car
001,127,577,6859,7205,347,11.8919,-43.5447,66.3181,45.6643,-1,12,1.3881,2.3018,1.3881,2.3018,1.3881,2.3018,heading_corrected_from_hbb,0.0000,car
001,128,582,6973,7312,340,-66.6017,48.2169,-12.2095,-44.2295,5,8,1.5540,3.7828,1.5540,3.7828,1.5540,3.7828,heading_corrected_from_hbb,0.0000,car
001,129,583,6973,7267,295,-72.0290,48.1077,-15.5740,-43.9104,-1,4,1.5337,3.6359,1.5337,3.6359,1.5337,3.6359,heading_corrected_from_hbb,0.0000,car
001,130,593,7090,7704,615,51.3766,46.4448,-12.8246,-44.3928,10,8,1.5085,3.5396,1.5085,3.5396,1.5085,3.5396,heading_corrected_from_hbb,0.0000,car
001,131,100597,7183,7741,559,45.1694,46.8617,-30.9828,1.1173,7,2,0.8359,1.1942,0.8359,1.1942,0.8359,1.1942,heading_corrected_from_hbb,0.1055,motor
001,132,604,7310,7752,443,50.5814,46.0660,-52.1585,45.9796,10,9,2.2998,11.4528,2.2998,11.4528,2.2998,11.4528,heading_corrected_from_hbb,0.1535,freight_car
001,133,618,7385,8105,721,51.5347,46.2208,-12.7285,-44.3673,10,8,1.4570,3.2219,1.4570,3.2219,1.4570,3.2219,heading_corrected_from_hbb,0.0000,car
001,134,619,7387,8226,840,-66.2953,48.2130,65.7122,44.7897,5,12,1.6791,3.7096,1.6791,3.7096,1.6791,3.7096,heading_corrected_from_hbb,0.0000,car
001,135,624,7431,8078,648,11.0916,-43.9414,-52.2509,48.9929,-1,-1,1.4781,3.2217,1.4781,3.2217,1.4781,3.2217,heading_corrected_from_hbb,0.0000,car
001,136,632,7492,7773,282,47.0502,46.6150,17.9838,37.3280,7,6,1.5612,3.9505,1.5612,3.9505,1.5612,3.9505,heading_corrected_from_hbb,0.0000,car
001,137,633,7510,8050,541,-72.1488,48.5076,-16.3743,-43.2598,-1,4,1.4186,3.5767,1.4186,3.5767,1.4186,3.5767,heading_corrected_from_hbb,0.0000,car
001,138,646,7584,8592,1009,-65.5674,47.6969,65.8865,44.3244,5,11,2.2796,6.3548,2.2796,6.3548,2.2796,6.3548,heading_corrected_from_hbb,0.0327,van
001,139,648,7602,8119,518,-71.3795,48.3364,-16.5989,-44.0850,-1,4,1.5284,3.9682,1.5284,3.9682,1.5284,3.9682,heading_corrected_from_hbb,0.0000,car
001,140,666,7718,8292,575,9.2892,-43.7903,-52.8447,48.9261,14,-1,1.5559,3.5117,1.5559,3.5117,1.5559,3.5117,heading_corrected_from_hbb,0.0000,car
001,141,673,7756,8100,345,12.0159,-43.7128,66.1986,45.2902,-1,12,1.3939,3.1978,1.3939,3.1978,1.3939,3.1978,heading_corrected_from_hbb,0.0000,car
001,142,695,7930,8277,348,-69.6521,47.9917,-13.2823,-44.1479,-1,8,1.6249,4.0829,1.6249,4.0829,1.6249,4.0829,heading_corrected_from_hbb,0.0000,car
001,143,709,7993,8634,642,48.3501,45.6318,-13.3404,-44.5028,10,8,1.4338,3.4190,1.4338,3.4190,1.4338,3.4190,heading_corrected_from_hbb,0.0000,car
001,144,711,8041,8409,369,13.0772,34.8634,-51.9479,49.0690,6,-1,1.1907,2.9027,1.1907,2.9027,1.1907,2.9027,heading_corrected_from_hbb,0.2222,car
001,145,718,8054,8397,344,-71.9837,48.0520,-15.3366,-44.3375,-1,4,1.6157,3.7628,1.6157,3.7628,1.6157,3.7628,heading_corrected_from_hbb,0.0000,car
001,146,727,8201,8710,510,48.4252,46.1253,-53.3537,48.8571,7,-1,1.5250,3.6925,1.5250,3.6925,1.5250,3.6925,heading_corrected_from_hbb,0.0000,car
001,147,100731,8228,8598,371,39.2604,43.9005,-14.2417,23.4059,7,1,0.8934,1.3364,0.8934,1.3364,0.8934,1.3364,heading_corrected_from_hbb,0.1429,motor
001,148,735,8273,8709,437,-71.4078,48.3767,-16.0392,-44.4177,-1,4,1.4745,3.6025,1.4745,3.6025,1.4745,3.6025,heading_corrected_from_hbb,0.0000,car
001,149,100741,8403,8771,369,34.6771,41.1754,-21.8336,19.9564,7,1,0.8424,1.2414,0.8424,1.2414,0.8424,1.2414,heading_corrected_from_hbb,0.2466,motor
001,150,787,8723,9021,299,9.7124,-43.7206,63.9715,44.5294,14,12,1.6403,3.4308,1.6403,3.4308,1.6403,3.4308,heading_corrected_from_hbb,0.0000,car
001,151,100789,8732,8916,185,6.2306,27.0003,-42.1683,43.2209,1,-1,0.8149,1.2263,0.8149,1.2263,0.8149,1.2263,heading_corrected_from_hbb,0.3838,motor
001,152,100791,8766,9016,251,-3.2803,35.2001,-26.7686,17.5662,6,2,0.8852,1.2791,0.8852,1.2791,0.8852,1.2791,heading_corrected_from_hbb,0.0398,motor
